Unique Manager's Groups,Portfolio
Ajit_Reportees,AI/ML
Ankur_Reportees,CORE
Anusha_Reportees,CORE
Chandra_Reportees,UI
Diksha_Reportees,IA
Fayaz_Reportees,QA
Hemant_Reportees,Platform
Jegadeesh_Reportees,CORE
Jharupula_Reportees,Platform
Komal_Reportees,UI
Mujtaba_Reportees,Platform
Prasad_Reportees,QA
Priya_Reportees,Platform
Rajesh_Reportees,UI
Ramakrishna_Reportees,CORE
Raman_Reportees,Platform
Ranjith_Reportees,Platform
Selvakumar_Reportees,UI
Subhan_Reportees,CORE
Swat_Reportees,IA
Tharuni_Reportees,Platform
Varun_Reportees,CORE
